owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile
nuysoft,Mock,23.3,14.2,,35.5,43.4,4.3,13.0,,,58.6,89.1,92.8,8.6,43.9,16.9,35.0,,15.8,62.1,25.8
stylus,nib,16.0,7.5,,36.2,20.2,2.6,7.8,,,54.2,56.9,59.1,39.1,61.7,38.7,48.3,,67.7,39.5,27.9
sun-zheng-an,gulp-shell,27.8,28.0,,37.7,45.5,2.4,7.3,,,34.8,33.2,30.5,37.0,38.3,32.0,65.0,,31.1,22.0,24.3
caolan,highland,33.7,9.1,,45.3,80.4,2.4,7.3,,,45.5,65.1,50.6,29.8,36.7,45.3,63.5,,72.3,39.4,31.7
ftlabs,fastclick,25.2,3.8,,45.3,51.8,2.5,7.4,,,66.8,88.7,94.0,39.7,44.6,23.5,30.8,,39.6,61.7,29.5
jamestalmage,cli-table2,30.5,2.6,,47.2,72.1,2.5,7.4,,,24.5,23.4,22.6,32.3,19.6,16.6,33.4,,16.4,16.2,18.5
serialport,node-serialport,42.6,40.9,30.8,85.5,13.2,27.7,25.5,39.8,17.7,64.2,71.7,81.1,31.5,72.5,46.9,56.0,30.1,54.6,60.2,45.3
nathanpeck,clui,19.3,5.6,,26.9,44.8,1.8,5.3,,,34.1,54.3,27.1,30.7,24.2,16.4,31.4,,17.8,27.7,17.9
hapijs,hapi,43.9,44.3,27.3,46.6,57.2,23.7,25.7,20.6,24.8,64.4,85.4,84.8,33.5,53.9,45.4,31.9,23.2,81.2,64.6,44.3
baryon,tracer,30.1,21.8,2.1,52.3,44.1,3.7,5.6,4.9,0.7,42.5,48.4,44.2,29.6,47.6,36.6,51.6,0.3,57.8,32.1,28.2
louischatriot,nedb,32.8,25.0,,53.8,52.2,2.8,8.4,,,57.6,84.2,81.2,32.7,32.5,24.1,37.8,,34.5,56.1,29.3
Timer,fork-ts-checker-webpack-plugin,20.8,,,38.3,44.8,1.6,4.9,,,14.3,3.0,8.8,43.1,2.3,39.5,45.9,,72.6,4.5,19.0
nodegit,nodegit,37.7,39.6,8.9,61.2,41.2,12.9,15.6,13.9,9.3,61.3,71.4,74.4,29.3,70.2,45.5,50.9,13.9,71.8,52.9,39.4
pouchdb,pouchdb,47.5,50.9,34.6,46.5,57.9,35.0,29.6,42.1,33.2,68.8,86.4,86.4,31.3,71.2,50.6,38.8,37.6,75.5,69.3,50.5
sindresorhus,unique-random-array,31.5,0.8,,50.4,74.8,1.7,5.0,,,20.0,14.0,12.1,32.8,21.1,18.3,31.7,,23.1,9.3,17.9
jupyterlab,jupyterlab,39.8,26.0,27.6,77.7,28.0,42.5,37.5,46.3,43.6,61.4,84.4,93.3,29.9,38.0,67.6,61.0,46.9,94.9,73.4,52.8
dthree,vorpal,14.6,4.7,,43.1,10.6,3.0,5.1,3.9,,44.7,71.6,63.4,29.5,14.4,36.7,40.4,,69.7,46.0,24.7
hapijs,inert,32.4,24.2,3.6,43.9,57.8,3.0,5.1,4.0,,26.0,22.4,25.9,30.6,25.3,29.6,28.4,5.5,54.8,17.1,22.8
EvanOxfeld,node-unzip,24.2,2.5,,35.6,58.7,1.5,4.6,,,38.9,37.0,64.4,17.1,37.2,17.7,34.0,,19.2,34.3,20.6
cloudhead,node-static,32.9,8.4,,53.0,70.0,2.6,7.9,,,50.5,58.8,59.9,35.8,47.5,35.1,51.6,,53.6,40.4,30.3
danwrong,restler,28.9,3.9,,47.9,63.9,1.6,4.7,,,51.0,57.9,67.2,29.4,49.4,31.0,29.7,,63.3,42.2,28.1
alibaba,BizCharts,28.9,20.7,4.5,41.5,49.0,9.0,17.1,9.1,0.8,48.9,72.7,73.8,30.0,18.9,34.6,44.7,0.4,58.6,51.8,30.3
metalsmith,metalsmith,43.7,42.1,19.9,86.7,26.1,12.7,14.3,14.2,9.4,53.8,76.1,73.0,30.1,36.0,35.8,39.4,14.9,53.2,53.9,36.5
zilverline,react-tap-event-plugin,23.9,6.5,,27.6,61.5,1.6,4.8,,,36.3,47.0,42.1,33.2,23.1,18.6,24.2,,31.8,30.2,20.1
slushjs,gulp-install,26.2,9.6,,47.1,48.1,1.6,4.8,,,24.3,15.4,25.1,30.8,26.1,22.4,34.1,,33.1,14.0,18.6
sindresorhus,gulp-template,38.7,17.0,0.8,62.3,74.8,2.6,5.2,1.7,0.9,29.8,24.5,35.8,29.7,29.0,17.8,25.7,3.9,23.7,21.0,22.2
shockie,node-iniparser,11.3,2.4,,21.8,21.2,2.2,6.5,,,26.8,14.1,16.9,29.0,47.0,15.1,22.9,,22.3,11.1,13.8
redis,hiredis-node,21.8,18.5,,31.5,37.0,2.2,6.5,,,30.6,25.2,36.9,12.9,47.6,23.3,19.2,,50.8,21.4,19.5
alibaba-fusion,next,34.5,43.9,33.3,42.7,18.1,40.3,36.9,44.2,39.9,44.5,68.2,71.9,4.5,33.2,61.5,64.4,43.5,76.6,60.1,45.2
iview,iview,25.3,27.6,,51.0,22.7,4.4,12.2,0.8,,63.3,92.6,95.4,31.6,33.6,52.2,73.7,,82.8,64.1,36.3
phosphorjs,phosphor,20.7,11.5,,33.1,38.0,2.2,6.6,,,35.8,46.4,51.4,27.2,18.1,42.8,67.9,,60.4,33.3,25.3
ipfs,js-ipfs,36.2,30.8,,69.3,44.9,2.2,6.7,,,59.9,75.1,83.6,26.3,54.5,45.4,48.8,16.8,70.5,53.6,35.9
johnagan,clean-webpack-plugin,22.0,12.2,,37.2,38.6,2.2,6.7,,,46.6,57.6,46.5,57.5,24.9,32.6,53.1,,44.8,35.4,25.9
atomist,automation-client,30.0,30.8,,57.7,31.6,2.2,6.7,,,20.8,9.3,13.8,27.7,32.2,45.1,62.3,,72.9,8.4,24.5
sindresorhus,query-string,44.5,22.7,10.2,69.6,75.3,7.2,15.7,6.0,,67.9,73.7,68.7,80.2,48.9,38.6,42.1,6.3,67.2,49.9,39.5
plone,volto,54.9,26.1,29.4,79.8,84.2,42.4,37.0,47.0,43.2,42.3,30.1,71.6,26.9,40.7,61.7,68.1,46.5,70.5,48.0,50.3
gaearon,react-hot-loader,41.9,21.1,,84.1,62.3,3.8,11.4,,,65.7,82.5,77.3,52.7,50.4,51.7,83.7,,71.4,54.5,40.8
react-component,rc-tools,20.7,5.4,,28.2,49.4,2.1,6.3,,,24.2,20.6,28.9,27.9,19.4,31.0,43.7,,49.2,17.2,19.5
darekf77,morphi,15.7,1.7,9.0,17.8,34.4,11.4,7.3,18.0,8.9,11.4,8.9,7.4,25.6,3.9,47.3,67.6,21.6,52.8,9.2,21.5
e1-bsd,omni-common-ui,15.8,,,38.6,24.6,1.4,4.3,,,15.8,8.0,8.7,18.0,28.6,34.3,70.8,,32.2,6.0,16.8
facebook,nuclide,27.7,9.2,,54.6,47.0,1.3,3.8,,,54.7,76.0,74.3,24.6,44.0,48.2,74.2,,70.3,50.5,33.0
electrode-io,electrode,37.2,28.5,21.9,59.2,39.1,20.1,10.2,31.0,19.0,39.3,58.3,62.5,27.8,8.6,50.9,66.8,26.4,59.3,46.9,36.8
wintercounter,mhy,21.0,7.1,,44.5,32.5,5.0,3.9,11.2,,21.5,17.4,19.8,18.1,30.5,18.7,39.4,,16.7,14.1,16.5
dexteryy,Project-WebCube,31.8,30.7,,27.6,68.8,1.3,3.9,,,16.5,17.9,14.9,21.5,11.6,22.8,64.7,,3.6,11.4,18.1
compute-io,compute.io,34.8,30.7,,31.7,76.8,1.3,4.0,,,17.2,13.6,9.9,23.7,21.7,12.0,29.6,,6.2,8.3,16.3
slushjs,gulp-conflict,21.6,2.6,,36.1,47.6,1.3,4.0,,,18.9,10.2,12.5,28.0,24.8,14.8,31.5,,12.8,8.0,14.1
sebastian-software,advanced-boilerplate,13.2,,,18.8,33.9,1.3,4.0,,,21.1,14.5,11.2,21.2,37.5,36.6,71.5,,38.5,9.0,18.1
embarklabs,embark,25.3,15.6,,57.3,28.4,2.5,7.4,,,51.2,66.5,70.5,27.1,40.5,50.0,70.1,18.2,61.7,46.5,32.2
agneta,platform,16.5,1.5,,47.1,17.4,1.2,3.6,,,9.9,7.8,8.4,17.5,6.0,23.5,67.5,,3.1,5.8,12.8
ziruYU,nodejs,6.5,1.5,,14.9,9.5,1.2,3.6,,,4.6,1.5,0.9,10.9,5.0,16.8,47.2,,3.2,1.2,7.3
NetWilliam,protocol-buffers-schema,11.9,,,17.2,30.2,1.2,3.6,,,7.6,5.5,1.0,17.8,5.9,22.3,16.7,,50.3,2.6,10.7
toyako,yanglao,6.3,1.6,,14.8,8.9,1.2,3.7,,,6.9,5.4,5.0,10.7,6.5,7.1,21.2,,0.1,3.9,5.4
cnn007,node-dingtalk-robot,17.5,1.3,,33.6,34.9,1.2,3.7,,,7.2,6.8,6.8,10.4,4.9,9.3,27.9,,0.1,4.9,8.8
chjj,bslint,24.6,1.3,1.1,33.8,62.3,6.0,6.7,2.2,9.0,9.2,7.2,7.2,20.8,1.8,11.6,30.3,4.5,0.1,6.8,12.9
aethant,merino,10.3,2.3,,14.4,24.3,1.3,3.8,,,9.1,7.0,7.1,10.3,11.9,29.6,69.3,,19.4,5.1,12.5
Anoop24031989,cordova-plugin-tsp-for-Android,7.3,0.7,,11.4,17.1,1.3,3.8,,,5.6,1.9,4.7,10.2,5.6,5.9,14.8,,2.9,2.6,5.0
joshmatz,big-bertha,21.9,6.0,,33.0,48.4,1.8,5.4,,,10.9,8.1,7.0,17.9,10.8,6.7,17.2,,2.9,5.6,10.3
chjj,babylonia,25.6,0.1,,39.9,62.4,1.8,5.5,,,6.0,7.1,4.8,10.1,1.9,9.9,26.6,,3.0,4.6,10.8
ericmcornelius,ease,17.9,1.4,,11.3,59.0,1.8,5.5,,,9.6,7.3,9.4,9.9,11.8,22.5,64.5,,3.0,6.2,13.0
codemirror,CodeMirror,29.9,26.7,17.1,53.1,22.8,27.5,29.1,25.4,27.9,68.2,93.8,96.0,8.9,74.0,47.1,28.1,23.6,89.5,72.4,43.2
nithincvpoyyil,voice-listener,13.1,2.2,,33.1,17.2,5.9,5.6,12.1,,9.5,6.4,6.2,17.2,8.1,14.8,41.3,,3.0,6.2,10.8
hexlet-components,js-pairs,12.3,2.3,,14.8,32.2,4.2,5.6,6.9,,16.0,11.7,15.1,27.3,9.9,32.6,55.6,1.5,40.8,10.3,16.3
terryarbase,nextnode,14.7,2.2,,45.8,10.7,1.9,5.6,,,8.1,5.0,4.9,20.3,2.2,33.6,63.3,,37.5,3.9,14.6
rstacruz,pnpm,52.7,25.1,30.6,80.8,74.3,42.5,38.4,46.1,42.9,61.7,94.3,79.6,30.2,42.6,56.8,70.3,45.0,55.2,72.1,53.4
ckeditor,ckeditor5-build-inline,20.1,,,36.8,43.6,1.7,5.2,,,21.2,9.8,44.0,9.6,21.3,37.7,35.0,,78.0,18.5,20.2
mehmetkose,react-websocket,22.7,3.4,,36.4,51.0,1.7,5.2,,,27.7,27.8,37.2,28.8,16.9,32.6,57.2,,40.4,22.2,21.2
stewartml,react-angular-component,4.4,2.1,,14.2,1.3,1.7,5.2,,,6.2,5.2,6.5,9.7,3.3,20.3,61.0,,,4.5,8.2
akserg,ng2-toasty,25.7,8.2,,45.6,49.1,1.8,5.3,,,30.8,24.2,41.0,28.9,29.0,25.5,39.9,,36.5,22.3,20.9
primefaces,primeng,29.1,40.6,29.6,26.7,19.4,45.7,45.2,47.6,44.3,62.9,78.4,95.8,36.1,41.2,65.0,59.1,46.0,89.8,73.3,50.7
jabbla,Freemamba,16.3,2.1,,37.2,25.9,3.9,11.8,,,6.8,7.5,4.5,9.8,5.5,13.1,35.8,,3.5,5.3,10.0
askiiRobotics,react-native-ok-sdk,14.1,1.9,,40.2,14.2,3.8,11.5,,,9.4,2.2,10.6,19.0,5.8,22.5,67.6,,,5.5,12.5
namchey,linkpreview,9.5,2.8,0.1,25.7,9.6,7.9,14.6,0.1,9.1,9.9,13.8,11.4,13.7,0.8,29.1,69.4,4.5,13.4,11.0,14.1
dorado-lmz,axios-retry,12.9,,,22.0,29.5,3.9,11.6,,,5.6,0.5,4.6,13.6,3.6,23.0,35.8,,33.4,3.0,11.3
linagora,openpaas-esn,25.9,25.1,,23.9,54.5,7.0,11.6,9.2,,32.3,32.5,48.6,25.5,22.8,34.6,36.2,,67.7,29.4,24.9
lazy-bee,ui,6.7,3.0,,16.0,7.8,3.9,11.6,,,9.3,10.3,11.7,13.5,1.7,38.7,70.5,,45.5,8.6,14.6
colmbrady,react-native-feather,11.1,1.9,,25.1,17.6,3.9,11.7,,,8.7,9.0,9.0,13.4,3.5,22.9,65.3,,3.5,7.3,11.7
mzamoras,rbc,17.6,2.0,,48.6,20.0,3.9,11.7,,,9.8,2.4,1.6,20.0,15.0,26.9,62.9,,17.7,2.6,14.5
patternweb,patternx,8.2,2.0,,12.9,18.0,3.9,11.7,,,7.5,7.9,4.1,13.3,4.8,22.1,65.6,,0.8,5.3,10.5
LearningLocker,learninglocker,17.8,18.5,,24.1,28.6,4.1,12.3,,,41.9,34.6,60.6,16.8,55.4,45.4,71.5,,64.6,33.1,27.3
dropbox,zxcvbn,24.5,8.2,,33.2,56.6,5.8,17.5,,,61.6,85.6,80.3,30.5,50.0,20.1,33.4,,26.8,57.2,28.0
1903514970,cordova-plugin-demotoast,6.3,1.4,,11.4,12.2,4.1,12.4,,,5.0,1.1,4.2,13.1,1.6,4.8,13.4,,0.9,3.1,5.0
Automattic,wp-calypso,37.1,30.8,11.1,50.8,55.8,33.2,33.0,22.2,44.4,57.8,82.6,89.2,26.7,32.6,66.8,68.8,47.3,84.2,68.3,48.7
schacker,hpack-cli,14.5,1.9,,18.8,37.4,3.8,11.3,,,6.6,6.1,4.3,13.0,3.0,11.7,34.2,,0.9,4.7,9.1
FrontendSolutionsGmbH,ufp-core-frontend,12.3,1.8,,29.4,17.9,3.8,11.4,,,8.3,1.2,5.8,21.1,5.0,28.0,68.6,,15.4,3.6,13.1
APCOvernight,apc-youtube,8.5,1.8,,10.3,22.1,3.8,11.4,,,6.9,6.0,5.9,12.8,2.9,19.6,57.8,,1.1,5.2,9.7
qh08,hendo-cli,12.0,1.8,,29.1,17.2,3.8,11.4,,,9.1,9.2,7.8,12.5,7.0,10.2,29.5,,1.1,6.9,8.8
tronscan,tronscan-frontend,14.2,28.8,,17.3,10.7,6.3,14.8,4.2,,28.5,23.0,54.7,12.4,23.9,43.9,69.5,,62.2,28.0,23.2
ournameismud,mulp,8.7,1.7,,10.3,22.9,4.0,12.1,,,10.5,7.7,6.6,23.1,4.8,24.8,73.4,,1.1,6.1,12.0
diplomatiegouvfr,hornet-js-builder,27.0,1.5,,80.0,26.4,4.0,12.1,,,13.9,1.0,6.9,22.6,24.9,39.9,57.7,,62.0,4.0,21.2
cakrit,landscapeapp,11.4,,,40.8,5.0,4.0,12.1,,,5.2,5.3,1.7,11.8,1.9,14.3,36.5,,6.3,3.7,8.7
luigimannoni,tovar.js,17.2,30.3,,17.5,21.2,4.1,12.2,,,9.7,6.5,1.8,20.2,10.3,13.1,38.1,,1.4,4.1,11.0
meepobrother,nger,21.8,4.5,,31.1,51.6,4.1,12.2,,,9.7,12.7,13.4,11.7,1.1,14.1,32.8,,9.5,10.1,12.4
GuillaumeIsabelleX,gix-npm-server,15.5,1.6,,18.4,41.8,4.1,12.2,,,4.4,2.3,1.9,11.5,2.1,7.8,21.8,,1.4,2.8,7.9
conveyal,modeify,27.3,16.5,,30.1,62.7,4.1,12.3,,,19.9,13.0,19.0,11.4,36.0,38.8,69.0,,47.3,12.0,22.5
rachmanzz,bim,12.6,1.6,,15.8,32.9,4.1,12.3,,,6.3,3.1,2.0,19.3,0.9,11.5,32.7,,1.9,3.1,8.6
smashingboxes,smashing-dev-tool,17.4,1.1,,31.8,36.9,3.9,11.8,,,13.3,4.6,8.5,17.3,22.7,13.3,34.2,,5.8,5.7,12.0
jkhax0r,require_bluetooth_le,8.4,1.1,,9.7,22.8,4.0,11.9,,,8.5,2.0,1.1,19.4,11.4,6.2,17.0,,1.6,2.4,6.8
elandamor,the-react-scripts,7.6,1.1,,8.0,21.2,4.0,11.9,,,2.7,2.5,1.2,6.4,0.5,15.2,43.9,,1.8,2.6,7.4
unctionjs,complete,23.6,1.2,,45.3,48.0,4.0,11.9,,,9.4,7.4,1.3,23.2,5.7,22.0,64.3,,1.9,4.2,14.8
hades217,lightsight,23.1,1.2,,53.9,37.3,4.0,12.0,,,7.9,4.4,6.4,17.6,3.4,13.2,37.8,,1.9,4.9,12.1
Joywok,JwComponents,12.7,1.2,,9.2,40.5,4.0,12.0,,,8.1,2.6,1.4,22.2,6.2,6.5,17.7,,1.9,2.7,7.8
founderlab,frameworkstein,16.7,1.3,7.4,20.4,37.9,13.0,15.1,14.8,9.2,5.5,4.5,6.3,6.5,4.6,31.7,61.3,16.0,17.9,7.9,16.7
teambit,bit,46.4,46.6,32.2,77.1,29.5,39.8,33.1,48.0,38.3,52.0,87.9,79.5,6.6,34.0,52.0,62.7,19.1,74.2,69.1,47.6
bshack,white-label,17.2,7.7,,34.3,26.9,3.4,10.2,,,11.0,2.7,1.5,12.2,27.5,22.7,66.3,,1.6,2.5,13.6
SinaMFE,webpack-marauder,17.5,12.5,,35.2,22.2,3.4,10.3,,,13.3,10.9,11.1,25.2,5.8,26.3,47.1,,31.6,8.5,15.1
keystonejs,keystone,45.0,45.9,28.2,75.8,30.1,40.8,39.2,43.5,39.5,53.5,77.9,82.1,28.2,25.8,62.4,59.8,43.0,84.2,66.9,50.4
ipfs,aegir,39.0,34.2,34.1,42.6,44.9,33.3,27.1,41.9,30.8,28.7,14.9,31.1,28.4,40.5,44.4,31.0,37.0,65.2,26.4,36.3
choerodon,choerodon-front-boot,16.7,4.4,,35.7,26.8,6.6,10.4,9.3,,14.2,11.2,17.3,25.1,3.2,38.3,63.1,,51.8,11.7,18.9
kevrat,keystone-rus,12.3,,,47.8,1.4,3.5,10.4,,,5.7,1.4,4.0,12.1,5.1,41.0,36.6,0.1,86.2,3.0,15.6
nodecg,nodecg,36.2,31.0,24.3,65.1,24.4,29.6,27.9,35.8,25.0,42.1,46.2,48.1,25.9,48.2,44.5,50.8,30.4,52.2,41.3,38.1
react-component,rn-packager,20.4,6.6,,25.4,49.5,3.5,10.5,,,15.1,13.3,13.2,21.7,12.3,28.8,38.6,,47.8,10.0,16.9
JowayYoung,bruce-cli,15.5,8.5,23.7,18.9,10.8,8.1,10.1,13.8,0.5,21.8,29.4,38.7,17.4,1.6,8.8,24.5,0.2,1.7,25.4,13.6
palantir,blueprint,46.9,31.0,30.1,75.2,51.4,42.7,40.7,45.5,41.9,61.2,89.9,90.8,30.3,34.0,51.4,57.3,20.9,75.9,74.5,50.6
resin-io,resin-cli,34.0,31.0,31.2,73.9,,37.7,35.3,41.0,36.8,38.1,31.4,46.8,24.8,49.2,50.8,31.7,40.3,80.5,38.6,40.2
TryGhost,Ghost,41.3,49.3,31.2,45.4,39.2,45.1,42.4,48.7,44.2,71.6,97.0,97.5,28.5,63.3,66.8,71.7,47.0,81.6,79.9,56.2
INSIDEM2M,slim,16.1,27.5,,10.3,26.6,3.4,10.1,,,8.7,7.6,7.3,12.0,7.8,22.3,37.1,,29.9,6.1,12.6
fluidtrends,chunky,10.2,3.0,,17.7,19.9,3.4,10.1,,,9.7,12.5,10.7,5.2,10.5,35.5,56.3,,50.2,8.9,14.7
npm,npm,22.8,18.3,,11.8,61.0,3.4,10.2,,,71.1,88.0,93.5,23.8,79.0,25.3,14.5,,61.4,61.6,30.6
shubhsherl,Ghost,11.3,,,11.2,34.1,3.4,10.2,,,4.4,1.6,2.7,11.9,1.2,41.4,36.7,,87.3,2.6,15.1
suntoe,wnode,20.3,0.9,,18.1,62.1,1.1,3.3,,,7.1,1.7,2.8,17.0,7.0,20.6,60.0,,1.8,1.9,12.3
smartprix,sm-webpack-config,17.4,10.4,,35.1,24.3,1.1,3.3,,,11.1,5.1,7.9,22.8,8.5,20.4,36.5,,24.7,4.7,12.5
bdefore,redux-universal-starter,35.5,31.4,,62.3,48.4,1.1,3.4,,,23.5,32.1,25.5,23.9,12.7,32.1,37.1,,59.2,19.6,23.1
codemotion,cogear.js,11.6,6.3,,40.1,,1.1,3.4,,,17.0,25.6,17.4,22.5,2.6,14.0,34.4,,7.7,14.7,10.9
apache,couchdb-fauxton,43.6,19.7,17.8,73.7,63.0,23.3,18.4,29.4,22.2,36.8,28.3,56.9,23.3,38.8,52.5,52.8,24.8,80.0,36.2,39.1
idancali,react-native,21.8,,,55.8,31.3,1.2,3.5,,,8.2,1.8,2.9,21.3,6.8,33.8,13.9,,87.5,2.0,16.2
superdesk,superdesk-client-core,32.6,12.8,31.2,51.7,34.9,32.3,18.5,43.2,35.2,28.7,11.8,37.7,25.7,39.4,62.8,67.5,39.2,81.6,27.3,39.1
maxijonson,tchin-react-components,14.5,2.1,,39.9,16.1,1.2,3.5,,,7.8,4.8,3.0,18.8,4.5,21.6,63.7,,1.2,3.0,11.3
davanmonet,DaVanMonet,13.2,4.5,,33.6,14.5,1.0,3.0,,,14.5,8.3,8.0,18.9,23.0,40.0,69.6,,50.4,5.8,17.2
zero1five,lambda,12.9,0.5,,17.5,33.6,1.0,3.1,,,5.8,0.8,6.0,15.8,0.7,24.2,69.4,,3.3,2.6,11.0
ssbc,patchwork,30.8,32.3,,45.6,45.4,1.0,3.1,,,48.4,65.9,67.1,21.6,38.9,47.5,61.2,,81.5,44.7,31.9
Travelab,scot4,21.2,29.7,,32.4,22.9,1.0,3.1,,,12.2,0.9,2.5,14.7,30.6,33.3,68.3,,31.6,1.5,16.9
facebook,metro,45.6,25.0,32.6,77.6,47.0,39.1,33.9,41.5,41.8,60.4,69.8,72.4,65.0,34.4,66.3,75.0,34.5,89.3,60.4,52.8
react-zeroconfig,react-zeroconfig,11.5,6.5,,38.7,1.0,1.1,3.2,,,9.0,11.0,8.1,1.7,15.2,20.9,62.6,,,6.7,10.6
websage-team,super-project,22.5,8.5,10.8,48.0,22.6,8.9,3.4,23.1,0.4,21.0,13.1,13.1,25.3,32.6,28.5,33.6,3.2,48.6,11.7,20.2
devCrossNet,universal-cli,10.5,,,32.2,9.7,1.1,3.3,,,16.2,15.1,14.1,26.0,9.7,26.8,14.5,,65.8,10.1,13.6
skypager,skypager,28.0,2.8,,72.0,37.1,3.2,2.6,7.0,,11.2,10.0,9.2,23.0,2.5,24.9,69.4,4.5,0.7,7.5,16.8
xiefei89,rc-tools,4.0,,,14.6,1.4,0.9,2.6,,,5.1,3.3,2.6,11.2,3.1,19.1,8.2,,49.0,2.3,7.3
nextstrain,auspice,33.4,33.6,28.7,54.7,16.6,29.4,21.2,38.6,28.4,32.4,24.4,50.8,24.4,30.1,58.2,61.9,31.8,80.8,34.9,38.4
andywer,ava-ts,19.6,7.7,,24.0,46.9,0.9,2.7,,,14.9,15.8,11.6,27.4,4.7,50.1,67.0,,83.4,9.4,21.4
GrabarzUndPartner,gp-boilerplate-environment,6.3,0.3,,3.7,21.1,0.9,2.7,,,8.1,2.8,2.3,20.5,6.6,10.3,30.6,,0.5,2.0,6.4
Netflix,conductor,49.8,43.7,36.1,63.7,56.0,37.9,32.4,40.2,41.2,59.7,83.5,91.5,25.8,37.9,66.1,63.8,41.8,92.7,71.0,53.4
Azure,azure-xplat-cli,38.5,18.9,,84.3,50.8,0.7,2.2,,,47.2,37.4,66.9,26.5,58.0,50.2,56.2,,94.3,35.0,34.1
openfin-js-app,react-openfin-scripts,13.6,0.9,,44.9,8.8,0.8,2.3,,,5.6,0.2,2.4,18.7,1.1,11.9,31.8,,4.0,1.1,8.0
vueComponent,tools,8.7,,,21.0,13.7,0.8,2.3,,,11.2,8.5,10.2,23.6,2.5,21.8,14.0,,51.4,6.5,10.6
vatesfr,xo-server,13.0,,,17.5,34.5,0.8,2.3,,,4.7,5.8,8.3,0.6,4.0,2.2,6.1,,0.5,5.0,5.2
yanxlg,rc-tools,14.0,0.9,,26.1,29.1,0.8,2.4,,,5.0,0.3,2.1,15.1,2.7,10.3,30.4,,0.6,1.1,7.5
zxf969175364,keystone,19.1,,,47.7,28.6,0.8,2.4,,,8.2,4.0,2.2,15.0,11.5,31.3,10.3,,83.5,2.3,14.8
umijs,umi,39.2,34.5,25.3,61.3,35.8,40.2,34.7,43.1,42.7,61.4,85.8,92.4,32.2,35.1,60.3,73.3,45.9,61.8,72.8,50.3
cmux,super,19.7,8.4,10.8,47.2,12.4,8.8,2.6,23.5,0.3,21.0,13.2,12.9,25.4,32.6,28.8,34.1,3.6,48.6,11.6,19.6
ssbc,patchbay,29.8,19.6,,54.3,45.4,0.7,2.0,,,26.7,29.0,35.4,22.0,20.4,43.7,64.6,,66.5,21.7,25.2
mbret,chewie-system,18.5,0.8,,27.7,45.6,0.7,2.0,,,9.9,5.9,3.4,22.4,8.0,10.6,30.9,,0.9,3.3,9.9
Frezc,rc-tools,16.9,0.8,,30.2,36.7,0.7,2.0,,,6.8,0.6,3.5,18.3,4.7,19.0,13.3,,43.6,1.6,10.8
krakenjs,grumbler,33.9,19.1,,51.9,64.7,0.7,2.1,,,14.2,24.8,22.5,2.2,7.5,9.4,14.2,,13.9,16.0,14.6
pavjacko,renative,41.8,32.9,33.0,76.0,25.5,37.1,29.2,45.8,36.3,38.8,55.2,53.0,26.1,20.9,54.9,62.0,40.8,62.0,48.4,43.2
utryfe,vue-cli-builder,9.6,1.0,,28.4,8.9,0.7,2.1,,,2.6,3.5,3.6,2.3,0.9,20.2,58.6,,2.0,2.6,8.3
duanguang,brain-vue-cli,21.4,0.6,,46.7,38.5,0.7,2.2,,,7.2,2.1,3.7,20.4,2.6,23.9,69.6,,2.1,2.2,13.3
jasonvillalon,generator-arwen,25.0,0.6,,53.9,45.5,0.7,2.2,,,8.4,2.9,3.8,14.4,12.5,13.7,38.9,,2.1,2.5,12.0
DEEP-IMPACT-AG,cherry,16.8,0.6,,33.8,32.9,0.6,1.7,,,8.1,6.6,3.9,19.9,2.0,21.0,60.5,,2.4,3.7,11.6
Automattic,zeditor,22.4,0.7,,33.3,55.6,0.6,1.7,,,13.8,12.4,9.8,16.3,16.9,18.1,29.2,,25.0,7.6,13.7
adlnet,xAPIWrapper,25.0,16.2,,48.5,35.5,0.6,1.8,,,32.3,20.8,43.1,22.9,42.5,27.7,50.5,,32.5,21.5,21.4
gitana,cloudcms-server,27.9,2.7,5.1,53.8,50.0,4.4,2.1,10.2,1.0,20.2,9.9,13.6,24.5,32.8,24.0,32.1,0.5,39.4,9.3,19.1
douhao4648,jujin-dv,12.4,0.5,,38.6,10.3,0.6,1.8,,,9.2,8.6,7.7,16.4,4.0,11.5,32.1,,2.2,5.6,8.4
twreporter,twreporter-react,35.8,19.0,27.8,68.0,28.3,28.3,11.4,45.6,27.8,30.1,26.0,39.7,13.9,40.8,51.3,66.2,13.9,73.8,31.3,36.4
paranoidjk,rc-tools,18.2,,,19.8,52.9,0.6,1.9,,,5.3,4.9,7.6,3.1,5.5,16.5,7.4,,42.2,4.4,10.1
ember-cli,ember-cli,50.8,47.5,36.4,57.9,61.4,35.3,26.4,43.2,36.2,60.0,64.2,82.7,34.3,58.7,65.5,62.5,40.0,93.9,60.7,52.9
stephenplusplus,sindredash,22.8,1.0,,13.9,76.2,3.5,10.5,,,13.0,12.2,4.4,16.9,18.6,7.2,19.9,,1.6,6.7,11.6
avajs,ava,40.5,35.9,33.1,60.3,32.8,33.9,34.5,35.5,31.7,64.7,90.2,85.7,37.6,45.2,49.5,51.4,32.2,64.8,69.9,47.2
