owner,repo,stars,forks,issue_closed_rate,issue_time_to_close,issue_time_to_response,issue_monthly,issue_participants,labeled_issues,pulls_closed_rate,pulls_time_to_close,pulls_time_to_response,pulls_monthly,pulls_participants,pulls_merged_rate,issues_average_comments,pulls_average_comments,code_review_score,maintained_score,vulnerabilities,issue_per_participants,pulls_per_participants,open_issues,dependent_repositories,dependent_packages,commits_with_vertification_rate,commits_avg_msg_length,commits_author_count,commits_committer_count,issue_commented_rate,readme_headers_num,watchers,network_count,subscribers_count,comments_avg_length,pulls_last_90days,commmits_last_90days,health_percentage,projects_owned_by_maintainer,age_of_other_projects,workflow_runs_count,contributors_per_code_file,files_with_more_than_1_contributors,labels,releases,time_since_created,created_time,pull_authors_dec,pull_authors_jan,pull_difference,pull_authors_2024,Usage_Popularity,outdated_dependencies,headings_count
Unitech,pm2,1.84,0.33,1.90,0.37,0.89,0.91,3.30,0.12,9.00,1.13,0.19,0.27,3.97,6.00,0.07,0.98,1.82,3.00,0.04,2.65,1.50,1.61,0.04,0.06,3.00,0.09,0.46,0.86,4.80,1.51,1.84,0.33,0.97,0.98,0.08,0.06,7.10,1.74,7.16,0.00,0.60,0.04,0.56,0.29,,6.90,0.54,0.00,0.55,0.09,0.06,0.09,3.71
gulpjs,liftoff,0.04,0.01,8.70,0.85,0.56,0.04,0.27,0.00,10.00,0.91,0.29,0.07,0.53,5.00,3.09,4.15,0.91,0.00,0.00,2.06,1.50,0.01,0.37,0.03,0.00,0.06,0.16,0.05,9.10,0.79,0.04,0.01,0.02,0.94,,,6.20,0.65,6.16,0.00,0.47,0.02,0.15,0.14,,6.42,,,0.82,,0.37,0.03,0.00
krisk,Fuse,0.79,0.10,9.50,1.49,1.23,0.25,3.83,8.44,10.00,1.42,0.27,0.07,3.03,6.00,1.91,1.95,0.91,1.00,0.26,2.94,3.50,0.04,0.00,0.00,2.00,0.06,0.34,0.11,9.40,0.56,0.79,0.10,0.20,0.86,,0.02,5.70,0.37,4.88,0.01,0.41,0.07,0.23,0.07,,7.57,,,0.82,,0.01,0.00,1.71
timoxley,columnify,0.02,0.00,3.90,0.69,1.13,0.02,0.18,0.02,8.00,1.25,0.21,0.04,0.25,5.00,1.47,1.83,3.64,0.00,0.34,2.06,1.50,0.05,0.11,0.03,1.00,0.08,0.07,0.16,6.70,1.59,0.02,0.00,0.02,0.67,,,4.20,5.17,7.49,0.00,0.51,0.01,0.10,,,6.51,,,0.82,,0.11,2.09,0.00
stylelint,stylelint-config-standard,0.06,0.02,9.70,0.10,0.05,0.05,0.51,0.58,10.00,0.03,0.01,0.12,0.44,8.00,2.94,0.85,4.55,10.00,0.04,2.65,0.50,0.01,0.12,0.39,4.00,0.35,0.12,0.13,9.20,0.56,0.06,0.02,0.03,1.27,0.18,0.26,8.70,0.21,4.02,0.01,1.77,0.01,0.37,0.11,,5.08,0.27,,0.55,0.09,0.12,0.24,0.00
coopernurse,node-pool,0.11,0.03,7.00,1.19,1.54,0.05,0.99,0.90,9.00,0.88,0.58,0.05,1.73,7.00,2.21,2.80,5.45,0.00,0.00,2.35,3.00,0.11,0.00,0.00,5.00,0.11,0.29,0.42,8.50,1.90,0.11,0.03,0.06,1.11,,,2.80,1.16,6.68,0.00,1.51,0.01,0.07,0.00,,8.71,,,0.82,,0.00,0.06,0.00
standard-things,esm,0.24,0.02,8.40,0.05,0.09,0.47,2.70,8.44,10.00,0.29,0.13,0.18,0.48,4.00,2.43,1.83,0.91,0.00,4.05,2.06,1.00,0.16,0.15,0.37,10.00,0.06,0.04,0.03,9.30,0.32,0.24,0.02,0.08,0.91,,,3.70,0.03,4.57,0.00,0.01,0.00,0.22,0.45,,4.15,,,0.82,,0.16,3.02,0.00
ogt,valid-url,0.01,0.00,1.80,0.00,4.75,0.03,0.09,0.04,8.00,2.61,3.23,0.02,0.07,9.00,1.10,1.46,1.82,0.00,0.00,1.47,1.50,0.04,0.23,0.04,1.00,0.05,0.04,0.10,8.60,0.40,0.01,0.00,0.01,1.36,,,4.20,0.43,7.85,0.00,0.68,0.00,0.10,,,6.77,,,0.82,,0.23,0.01,0.00
tleunen,babel-plugin-module-resolver,0.16,0.03,6.10,0.43,0.50,0.14,3.01,0.84,10.00,0.21,0.02,0.18,1.11,7.00,3.68,2.93,5.45,0.00,0.91,4.71,1.50,0.20,0.34,0.43,1.00,0.13,0.30,0.11,8.70,0.63,0.16,0.03,0.03,0.99,,,4.20,0.48,5.27,0.00,1.14,0.01,0.17,,,5.36,,,0.82,,0.34,2.03,0.00
mathisonian,command-exists,0.01,0.00,4.20,1.06,1.38,0.01,0.12,0.02,7.00,0.17,0.20,0.02,0.16,10.00,1.76,2.07,1.82,0.00,0.56,2.35,1.50,0.03,0.62,0.06,2.00,0.10,0.06,0.13,8.40,1.19,0.01,0.00,0.01,0.57,,,4.20,2.37,5.95,0.00,0.74,0.11,0.13,,,5.98,,,0.82,,0.62,0.06,0.00
kevva,download,0.06,0.03,6.70,0.27,0.96,0.08,0.91,0.18,8.00,0.33,0.13,0.03,1.25,4.00,1.76,3.41,2.73,0.00,0.00,2.35,4.00,0.12,0.21,0.07,0.00,0.04,0.13,0.15,8.10,0.48,0.06,0.03,0.03,0.56,,,4.20,2.07,6.04,0.00,1.79,0.01,0.10,0.00,,6.72,,,0.82,,0.22,0.06,0.00
TooTallNate,node-plist,0.02,0.02,6.80,1.81,1.04,0.02,0.47,0.28,9.00,2.87,1.17,0.03,1.11,5.00,2.57,2.93,6.36,0.00,2.50,2.94,3.00,0.04,0.00,0.00,1.00,0.11,0.17,0.34,8.10,0.71,0.02,0.02,0.02,0.70,,,4.20,3.55,6.47,0.00,1.08,0.01,0.05,0.00,,8.82,,,0.82,,0.00,0.10,0.00
d3,d3,4.89,2.93,9.90,0.13,0.06,0.33,2.05,0.08,10.00,0.92,0.36,0.27,4.85,3.00,0.37,1.10,5.45,3.00,0.13,1.76,2.00,0.03,0.10,0.22,4.00,0.05,0.19,0.08,8.10,0.16,4.89,2.93,5.39,1.50,0.12,0.14,3.70,0.48,6.27,0.01,0.45,0.04,0.05,0.47,,8.72,0.81,0.14,0.55,0.18,0.18,0.13,0.00
karma-runner,karma-chrome-launcher,0.02,0.02,6.40,0.83,1.15,0.06,2.85,0.68,8.00,0.73,0.50,0.07,1.57,5.00,3.60,2.20,4.55,0.00,0.86,7.06,3.00,0.14,1.02,1.46,1.00,0.17,0.19,0.32,8.60,0.40,0.02,0.02,0.02,1.22,0.00,,5.00,0.41,7.63,0.00,2.01,0.01,0.33,0.06,,7.05,,0.00,0.96,0.00,1.02,0.64,1.14
SamVerschueren,listr,0.15,0.02,5.00,0.28,1.03,0.08,0.74,0.70,9.00,2.09,0.19,0.03,0.72,6.00,2.72,4.02,3.64,0.00,0.00,2.65,3.00,0.11,0.20,0.10,0.00,0.04,0.14,0.05,8.30,1.43,0.15,0.02,0.03,0.77,,,5.70,2.74,5.23,0.00,1.18,0.01,0.12,0.00,,4.80,,,0.82,,0.20,0.02,0.00
sass,node-sass,0.39,0.17,8.60,0.11,0.12,0.46,4.52,2.90,9.00,0.66,0.22,0.28,5.17,5.00,1.25,1.71,5.45,4.00,0.00,3.53,2.00,0.33,1.28,2.84,1.00,0.22,0.47,0.39,9.00,4.29,0.39,0.17,0.29,1.85,0.22,0.04,7.50,0.24,6.38,0.01,0.28,0.04,1.21,0.29,,7.64,,0.14,1.10,0.09,1.28,0.02,0.00
ladjs,consolidate,0.00,0.00,,,,,0.00,0.00,10.00,0.00,0.00,0.03,0.07,10.00,,1.59,5.45,4.00,0.00,,5.00,0.00,0.00,0.00,1.00,0.09,0.50,1.21,,0.95,0.00,0.05,0.00,,,,,0.92,4.48,0.00,2.04,0.03,0.13,0.00,,0.00,,,0.82,,0.00,0.00,0.00
webpack-contrib,stylus-loader,0.02,0.01,10.00,3.50,2.63,0.08,1.46,0.12,10.00,0.44,0.20,0.14,1.29,9.00,2.35,1.83,6.36,9.00,0.00,3.53,1.00,0.00,0.62,0.22,5.00,0.13,0.26,0.48,9.50,1.51,0.02,0.01,0.03,0.77,0.16,0.26,6.20,0.78,6.35,0.00,0.67,0.05,0.13,0.04,,6.58,0.00,0.27,1.10,0.18,0.62,1.33,0.00
yeikos,js.merge,0.01,0.01,7.40,1.69,1.55,0.01,0.21,0.02,9.00,4.29,2.89,0.01,0.28,1.00,1.32,1.22,0.91,0.00,0.13,3.24,2.00,0.02,0.50,0.09,1.00,0.04,0.04,0.10,8.10,0.79,0.01,0.01,0.01,0.57,0.00,,2.50,0.06,7.59,0.00,0.07,0.01,0.10,0.01,,7.61,,,0.82,0.00,0.50,0.01,0.00
expressjs,session,0.28,0.12,9.00,0.42,0.22,0.21,4.05,7.86,9.00,0.59,0.15,0.11,4.18,2.00,3.60,4.63,1.82,10.00,0.00,3.24,3.50,0.15,0.00,0.00,0.00,0.05,0.59,0.03,9.70,1.75,0.28,0.12,0.16,1.14,0.04,0.42,5.00,0.39,7.02,0.00,3.89,0.00,0.37,0.14,,6.39,0.00,0.00,0.82,0.09,0.00,0.01,0.00
react-bootstrap,react-bootstrap,1.01,0.46,8.50,0.27,0.11,0.80,3.06,7.18,9.00,0.20,0.12,0.78,1.96,9.00,0.29,0.12,5.45,10.00,0.78,2.35,1.00,0.33,0.46,0.20,8.00,0.26,0.74,0.06,8.70,0.71,1.01,0.46,0.63,0.98,0.34,0.36,5.00,0.15,6.03,0.01,0.36,0.17,0.43,0.15,,6.49,1.35,0.81,0.96,0.70,0.48,1.93,3.43
stylelint-scss,stylelint-scss,0.04,0.01,6.90,0.68,0.36,0.16,1.39,3.06,10.00,0.18,0.09,0.40,1.04,9.00,2.35,1.10,7.27,10.00,0.09,1.76,0.50,0.20,0.09,0.15,7.00,0.43,0.19,0.27,8.90,2.62,0.04,0.01,0.01,0.79,1.28,1.78,5.00,0.02,4.27,0.06,1.26,0.11,0.30,0.23,,5.02,0.81,0.14,0.55,0.18,0.09,0.64,0.86
palantir,tslint,0.27,0.11,10.00,0.63,0.52,1.15,2.60,8.84,10.00,0.63,0.12,0.80,6.19,8.00,0.44,0.85,5.45,0.00,2.76,2.06,2.50,0.00,0.75,3.22,1.00,0.23,1.38,0.13,9.50,0.40,0.27,0.11,0.49,0.94,,,5.00,2.05,4.62,0.00,0.76,0.17,0.86,0.33,,6.78,,,0.82,,0.75,0.84,0.00
bvaughn,react-virtualized,1.17,0.39,2.30,0.69,1.47,0.39,4.94,0.62,9.00,0.33,0.14,0.32,7.18,8.00,0.59,2.80,3.64,0.00,3.84,4.12,3.00,0.91,0.03,0.07,2.00,0.15,0.71,0.63,6.00,1.03,1.17,0.39,0.35,0.73,0.02,,8.50,1.46,4.42,0.00,1.51,0.06,0.35,0.01,,5.22,0.00,0.00,0.82,0.00,0.04,3.57,5.43
xmldom,xmldom,0.01,0.01,8.20,1.61,1.07,0.17,0.68,2.42,10.00,0.23,0.09,0.53,1.02,9.00,3.01,2.07,0.00,10.00,0.04,1.76,0.50,0.06,0.20,0.02,8.00,1.70,0.26,0.29,9.00,1.03,0.01,0.01,0.01,1.48,0.82,0.68,7.50,0.01,1.81,0.08,0.87,0.07,0.58,0.10,,2.38,0.00,0.14,0.96,0.09,0.20,0.52,0.00
gulpjs,plugin-error,0.00,0.00,6.40,0.83,3.29,0.04,0.07,0.00,10.00,1.76,0.81,0.03,0.21,6.00,2.06,2.56,1.82,0.00,0.00,2.35,3.00,0.01,0.41,0.06,3.00,0.12,0.05,0.05,7.30,0.40,0.00,0.00,0.01,1.13,,,6.20,0.65,6.16,0.00,0.62,0.01,0.15,0.01,,5.57,,,0.82,,0.41,0.04,0.00
Automattic,mongoose,1.21,0.48,9.10,0.10,0.07,2.46,2.16,8.68,10.00,0.03,0.03,2.96,0.83,9.00,0.07,0.12,4.55,10.00,0.00,1.76,0.50,0.48,1.21,0.51,4.00,0.19,0.19,0.34,8.40,1.75,1.21,0.48,0.73,1.67,2.32,7.19,7.50,9.20,4.25,0.23,0.40,0.04,0.45,0.30,,9.04,1.89,1.35,1.23,1.23,1.22,0.06,3.43
karma-runner,karma-jasmine,0.02,0.02,8.30,0.53,0.62,0.08,1.62,0.66,9.00,1.12,0.33,0.10,2.08,6.00,2.57,2.93,7.27,0.00,0.65,4.12,2.50,0.07,1.01,1.02,1.00,0.19,0.24,0.29,8.90,0.48,0.02,0.02,0.05,0.81,0.00,0.00,5.00,0.41,7.63,0.00,2.32,0.01,0.30,0.10,,7.10,,0.00,0.96,0.00,1.01,0.99,0.00
jaredhanson,passport,1.02,0.16,4.80,1.34,1.58,0.22,5.33,0.76,8.00,1.96,0.20,0.04,3.35,4.00,1.25,3.54,0.91,0.00,0.00,4.41,4.50,0.67,0.31,0.16,0.00,0.06,0.20,0.47,7.10,0.63,1.02,0.16,0.46,1.12,,0.00,7.10,3.78,7.08,0.00,0.57,0.01,0.17,,,8.01,,,0.82,,0.32,0.02,0.57
jinder,path,0.01,0.01,3.80,0.30,1.29,0.01,0.07,0.00,5.00,0.10,0.00,0.01,0.09,7.00,1.03,0.98,1.82,0.00,0.00,1.76,3.50,0.02,0.23,0.74,0.00,0.03,0.01,0.03,2.50,0.24,0.01,0.01,0.01,0.80,,,4.20,0.07,7.38,0.00,0.29,0.00,0.10,0.00,,5.78,,,0.82,,0.23,0.00,0.00
chjj,blessed,0.51,0.07,3.90,0.76,1.46,0.16,1.94,0.00,5.00,3.40,2.72,0.04,1.20,3.00,1.91,1.95,0.91,0.00,0.00,2.35,2.50,0.45,0.03,0.04,0.00,0.05,0.04,0.11,6.90,1.67,0.51,0.07,0.17,0.91,,,4.20,0.76,6.40,0.00,0.05,0.00,0.08,,,7.11,,,0.82,,0.04,0.00,0.00
Pomax,react-onclickoutside,0.08,0.02,7.70,0.24,0.12,0.14,1.85,0.70,10.00,2.16,0.33,0.09,2.31,5.00,2.94,3.90,2.73,0.00,1.38,3.24,3.00,0.10,0.08,0.03,1.00,0.08,0.31,0.48,8.80,1.59,0.08,0.02,0.02,1.00,,0.00,4.20,1.24,5.02,0.00,2.35,0.02,0.15,0.02,,5.78,,,0.82,,0.08,2.52,0.00
mariocasciaro,object-path,0.05,0.01,6.60,0.82,0.14,0.04,0.29,0.26,8.00,0.15,0.01,0.04,0.37,8.00,2.35,3.05,2.73,0.00,0.69,1.76,1.50,0.06,0.76,0.06,0.00,0.08,0.08,0.23,8.90,1.11,0.05,0.01,0.02,1.42,,,5.70,0.36,6.11,0.00,1.72,0.00,0.12,,,6.67,,,0.82,,0.76,0.59,0.00
SheetJS,sheetjs,1.56,1.02,9.20,0.34,0.43,0.91,2.84,0.56,10.00,1.80,0.91,0.11,4.06,3.00,0.44,2.44,2.73,0.00,0.00,2.35,2.50,0.23,0.06,0.16,1.00,0.18,1.07,1.68,9.40,0.16,1.56,1.02,0.90,1.17,0.00,0.00,3.70,0.38,6.04,0.00,0.60,0.23,0.35,,,7.22,0.00,,0.68,,0.08,0.10,0.00
jaredhanson,passport-strategy,0.01,0.00,3.80,0.00,0.26,0.02,0.04,0.00,3.00,2.91,0.00,0.00,0.02,5.00,1.03,0.85,0.91,0.00,0.00,2.35,1.00,0.02,0.24,0.02,0.00,0.07,0.01,0.03,6.20,0.56,0.01,0.00,0.01,1.09,,,4.20,3.78,7.08,0.00,0.00,,0.08,,,6.76,,,0.82,,0.24,0.02,0.00
gulpjs,vinyl-fs,0.04,0.02,9.70,1.04,0.52,0.11,1.07,0.46,10.00,0.38,0.07,0.12,1.48,7.00,4.04,7.56,1.82,0.00,0.00,2.35,2.00,0.01,0.34,0.08,0.00,0.08,0.31,0.06,8.80,0.71,0.04,0.02,0.06,0.87,0.00,0.00,6.20,0.65,6.16,0.00,1.52,0.05,0.17,0.11,,6.50,,,0.82,0.00,0.34,0.03,0.00
oclif,config,0.00,0.00,6.70,0.23,0.34,0.05,0.20,0.32,10.00,0.31,0.11,0.27,1.04,6.00,1.25,1.83,0.91,0.00,0.60,1.76,0.50,0.04,0.00,0.00,4.00,0.36,0.16,0.16,6.20,0.00,0.00,0.00,0.01,1.03,,,3.70,0.67,3.58,0.03,1.49,0.01,0.37,0.58,,3.71,,,0.82,,0.00,0.64,0.00
SeleniumHQ,selenium,1.32,1.00,8.60,0.06,0.00,4.25,2.73,9.62,9.00,0.10,0.02,3.71,2.08,8.00,2.43,0.37,0.91,10.00,0.39,2.06,1.00,0.34,0.08,0.13,3.00,0.18,0.33,0.21,9.90,1.98,1.32,1.00,1.92,2.60,2.97,9.36,10.00,0.17,5.61,0.47,0.24,0.11,1.25,0.22,,7.14,4.86,3.11,1.51,2.89,0.10,2.58,4.29
wnr,element-resize-detector,0.06,0.01,10.00,0.35,0.32,0.05,0.44,0.00,10.00,0.25,0.12,0.03,0.46,5.00,2.21,2.68,2.73,0.00,3.06,1.76,2.50,0.00,0.05,0.05,0.00,0.07,0.12,0.21,8.70,0.95,0.06,0.01,0.03,0.74,,,4.20,0.89,6.97,0.00,0.70,0.01,0.12,,,5.74,,,0.82,,0.05,0.10,0.00
browserify,browserify,0.66,0.15,6.10,0.99,0.95,0.28,2.77,0.86,9.00,0.79,0.40,0.28,6.14,4.00,0.96,2.93,1.82,0.00,0.00,2.35,2.50,0.71,0.14,1.07,2.00,0.09,0.51,1.07,8.60,3.17,0.66,0.15,0.43,0.94,,,6.20,0.67,6.86,0.00,1.23,0.13,0.12,0.03,,8.73,,,0.82,,0.15,0.02,2.00
mathiasbynens,base64,0.02,0.01,6.10,1.18,0.56,0.01,0.08,0.00,4.00,1.62,5.05,0.01,0.07,0.00,1.03,1.46,0.91,0.00,0.00,1.47,3.00,0.02,0.07,0.05,2.00,0.04,0.01,0.03,7.00,0.79,0.02,0.01,0.01,1.57,,,4.20,5.30,5.40,0.00,0.00,,0.10,,,6.23,,,0.82,,0.07,0.01,0.00
mscdex,ssh2,0.25,0.09,9.30,0.62,0.15,0.49,2.82,4.42,8.00,1.26,0.26,0.05,1.71,3.00,1.10,3.54,0.91,10.00,0.00,2.35,3.00,0.12,0.02,0.05,5.00,0.08,0.10,0.02,9.50,2.86,0.25,0.09,0.18,2.09,0.08,0.06,4.20,0.76,6.11,0.00,0.09,0.01,0.13,,,7.45,,,0.82,0.18,0.02,0.01,0.00
airbnb,enzyme,0.91,0.26,6.60,0.34,0.29,0.53,5.83,5.48,9.00,0.61,0.14,0.41,6.42,8.00,1.25,2.80,1.82,10.00,0.00,4.71,3.00,0.51,0.16,1.11,10.00,0.24,0.56,0.15,9.30,0.71,0.91,0.26,0.38,1.12,0.00,0.26,7.50,1.78,5.74,0.00,0.80,0.07,0.56,,,5.20,,,0.82,0.00,0.17,0.17,8.00
epeli,underscore.string,0.15,0.05,7.20,0.90,1.41,0.14,1.47,0.60,8.00,1.64,0.38,0.16,2.56,7.00,1.84,2.32,0.91,0.00,0.30,2.35,2.00,0.22,0.14,0.11,0.00,0.09,0.46,1.08,7.70,1.03,0.15,0.05,0.12,0.58,,,,,,0.00,0.83,0.05,0.12,0.02,,8.83,,,0.82,,0.14,0.12,0.00
sindresorhus,user-home,0.01,0.00,10.00,0.00,0.00,0.00,0.01,0.00,10.00,0.02,0.00,0.02,0.09,8.00,1.10,2.44,0.91,0.00,0.00,2.94,5.00,0.00,0.36,0.08,0.00,0.04,0.02,0.05,10.00,0.48,0.01,0.00,0.01,0.74,,,8.50,10.00,6.01,0.00,0.26,0.00,0.10,,,6.07,,,0.82,,0.36,0.00,0.00
angular,components,1.09,0.85,5.90,0.07,0.13,3.30,2.18,9.86,9.00,0.04,,4.25,0.00,9.00,0.81,2.44,10.00,10.00,2.97,1.76,0.00,3.62,0.24,0.18,6.00,0.34,0.35,0.15,8.20,0.40,1.09,0.85,1.34,1.08,5.47,5.65,7.50,1.86,6.01,1.12,0.14,0.11,2.39,1.08,,5.10,4.86,2.43,0.82,2.11,0.26,2.51,7.43
vuejs,vue-style-loader,0.01,0.01,5.40,0.57,1.22,0.01,0.46,0.00,7.00,0.22,0.03,0.02,0.55,6.00,1.99,2.32,2.73,0.00,2.93,5.29,4.50,0.04,0.79,0.52,0.00,0.08,0.23,0.47,7.10,0.48,0.01,0.06,0.02,0.71,,,,1.11,4.79,0.00,1.28,0.01,0.10,0.00,,5.10,,,0.82,,0.79,0.00,0.00
stevemao,left-pad,0.06,0.02,8.80,0.46,0.38,0.05,0.62,0.02,8.00,0.23,0.16,0.09,0.72,6.00,9.19,3.29,6.36,0.00,0.00,10.00,3.50,0.02,0.68,0.02,4.00,0.08,0.10,0.15,9.20,0.24,0.06,0.02,0.03,0.38,,,3.70,4.51,5.39,0.00,1.92,0.00,0.12,,,6.34,,,0.82,,0.68,0.00,0.00
remarkjs,react-markdown,0.54,0.11,9.90,0.71,0.56,0.39,4.14,8.04,10.00,0.62,0.28,0.08,2.61,6.00,2.35,4.27,0.91,10.00,0.00,3.24,3.00,0.01,0.07,0.10,5.00,0.09,0.39,0.16,9.70,2.70,0.54,0.11,0.08,1.04,0.02,,8.70,0.52,5.55,0.01,1.77,0.03,0.73,0.03,,5.53,,0.00,0.96,0.09,0.08,0.04,0.00
Hacker0x01,react-datepicker,0.35,0.28,4.20,0.83,1.20,0.86,3.46,2.34,10.00,0.10,0.02,1.62,1.25,8.00,0.29,0.37,10.00,10.00,0.17,2.65,0.50,0.61,0.07,0.08,7.00,0.40,0.17,0.36,7.20,1.11,0.35,0.28,0.12,0.73,2.08,6.37,8.70,1.30,4.16,0.12,1.44,0.04,0.25,0.46,,6.15,1.08,0.68,0.96,1.05,0.07,1.49,3.43
nfl,react-helmet,0.78,0.09,5.80,0.52,0.68,0.20,6.50,1.30,8.00,0.43,0.05,0.19,4.09,7.00,3.24,2.80,4.55,0.00,3.84,6.76,3.00,0.40,0.23,0.15,1.00,0.20,0.36,0.40,8.70,1.03,0.78,0.09,0.16,0.89,,,6.20,0.58,5.58,0.00,3.42,0.01,0.17,0.00,,5.48,,,0.82,,0.24,3.48,2.86
node-js-libs,cli,0.04,0.01,6.80,0.18,1.20,0.03,0.29,0.00,8.00,0.74,0.59,0.04,0.37,8.00,1.03,1.34,2.73,0.00,0.00,2.06,1.50,0.06,0.06,0.03,0.00,0.08,0.13,0.36,7.70,0.63,0.04,0.01,0.03,0.51,,,2.50,0.05,9.68,0.00,0.86,0.00,,,,8.54,,,0.82,,0.06,0.00,0.00
koajs,compose,0.05,0.02,9.00,1.20,0.83,0.04,0.31,0.10,9.00,1.18,0.07,0.08,1.13,4.00,3.01,4.51,1.82,0.00,0.22,2.94,2.00,0.03,0.11,0.05,2.00,0.07,0.11,0.19,8.30,0.48,0.05,0.02,0.02,0.74,,,8.70,0.92,7.06,0.00,1.89,0.00,0.13,,,6.74,,,0.82,,0.11,1.27,0.00
http-party,http-server,0.60,0.19,8.20,2.65,1.79,0.20,5.98,3.12,9.00,3.04,1.23,0.11,7.46,5.00,3.09,3.54,2.73,0.00,0.86,4.71,4.50,0.26,0.09,0.36,4.00,0.10,0.49,1.00,9.50,0.63,0.60,0.19,0.29,0.61,0.02,,8.70,0.03,9.13,0.01,1.06,0.03,0.40,0.03,,8.22,,0.00,0.96,0.09,0.10,1.21,3.43
ethereumjs,ethereumjs-monorepo,0.11,0.09,8.60,0.49,0.25,0.86,0.94,9.60,9.00,0.08,0.01,2.69,0.65,9.00,1.32,0.85,10.00,10.00,0.00,0.88,0.50,0.23,0.00,0.00,9.00,0.80,0.19,0.10,8.60,0.63,0.11,0.09,0.09,1.30,1.60,1.62,3.70,0.45,5.28,2.39,0.99,0.40,1.01,0.81,,5.43,2.43,0.95,0.55,0.70,0.00,1.54,0.00
dcodeIO,bcrypt.js,0.15,0.03,6.70,0.65,0.77,0.04,1.23,0.26,7.00,0.78,0.50,0.01,0.48,6.00,2.06,2.07,4.55,0.00,0.00,4.12,3.50,0.09,0.00,0.00,0.00,0.07,0.06,0.08,7.90,0.87,0.15,0.03,0.07,0.75,,,4.20,0.61,5.45,0.00,0.22,0.00,0.12,0.01,,6.94,,,0.82,,0.00,0.00,0.00
goto100,xpath,0.01,0.01,8.80,1.54,0.74,0.04,0.48,0.24,9.00,1.00,0.99,0.05,0.42,8.00,1.84,2.32,3.64,10.00,0.13,2.35,1.50,0.03,0.02,0.03,1.00,0.09,0.17,0.31,8.10,0.87,0.01,0.01,0.01,1.09,0.04,0.26,,0.56,5.14,0.00,1.84,0.00,0.08,,,7.42,0.00,0.00,0.82,0.00,0.02,0.00,0.00
hapijs,boom,0.13,0.02,9.70,0.11,4.66,0.07,0.83,3.34,10.00,0.16,6.12,0.05,1.09,8.00,2.57,2.80,6.36,0.00,0.00,1.76,2.00,0.01,0.61,0.07,1.00,0.06,0.31,0.36,9.70,0.24,0.13,0.02,0.07,0.74,0.00,,7.50,0.67,6.17,0.00,3.80,0.01,0.27,0.01,,7.14,0.00,,0.68,,0.61,0.01,0.00
request,request-promise,0.22,0.04,8.00,0.72,0.62,0.17,3.23,0.54,9.00,0.75,0.08,0.04,0.88,5.00,3.09,3.78,2.73,0.00,0.00,4.41,2.50,0.12,0.10,0.31,0.00,0.07,0.16,0.36,8.80,2.30,0.22,0.04,0.11,0.96,0.00,,3.70,0.25,6.79,0.00,1.58,0.01,0.17,,,6.64,,0.00,0.96,0.00,0.10,0.02,0.00
expressjs,errorhandler,0.02,0.01,10.00,0.09,0.00,0.01,0.10,0.16,10.00,0.18,0.03,0.02,0.21,0.00,3.01,5.49,0.91,0.00,0.00,2.94,3.50,0.00,0.59,0.05,0.00,0.03,0.04,0.03,9.20,0.63,0.02,0.01,0.03,1.05,,,5.00,0.39,7.02,0.00,0.61,0.00,0.30,0.05,,6.36,,,0.82,,0.59,0.03,0.00
react-icons,react-icons,0.49,0.09,6.90,1.41,1.37,0.30,5.38,3.86,9.00,1.45,0.62,0.13,3.81,6.00,1.91,2.20,2.73,10.00,0.60,4.41,3.00,0.33,0.69,0.24,3.00,0.10,0.54,0.79,8.00,1.51,0.49,0.09,0.08,0.59,0.36,0.26,3.70,0.00,6.24,0.01,0.46,0.22,0.18,0.11,,5.24,1.62,0.68,0.68,0.53,0.70,0.05,0.00
apostrophecms,sanitize-html,0.16,0.05,9.80,1.65,0.74,0.14,2.65,3.90,10.00,0.79,0.27,0.12,2.06,8.00,2.79,2.56,8.18,10.00,0.00,2.65,2.00,0.02,0.07,0.05,4.00,0.11,0.48,1.00,9.60,1.98,0.16,0.05,0.06,1.76,0.14,0.32,8.70,1.63,3.74,0.00,10.00,0.01,0.17,,,6.69,,,0.82,0.26,0.08,0.06,0.00
react-dnd,react-dnd,0.93,0.25,3.50,0.16,0.92,0.57,4.68,0.10,10.00,0.19,0.11,0.71,1.22,3.00,0.44,0.37,1.82,0.00,1.94,3.82,0.50,0.77,0.07,0.13,1.00,0.21,0.31,0.03,5.80,0.16,0.93,0.25,0.28,0.97,0.00,,7.50,0.05,5.12,0.00,0.11,0.08,0.37,0.33,,5.93,,,0.82,0.00,0.08,3.88,3.14
mishoo,UglifyJS2,,,3.50,0.16,0.92,0.57,4.68,0.10,10.00,0.19,0.11,0.71,1.22,3.00,0.44,0.12,0.91,0.00,0.00,3.82,0.50,,0.00,0.00,10.00,0.07,0.02,0.03,5.80,2.38,,,,0.97,,,7.10,0.40,7.36,1.22,0.01,0.00,0.12,0.66,,,,,0.82,0.00,,0.00,0.86
zenorocha,clipboard.js,1.54,0.51,9.80,0.57,0.47,0.28,3.99,2.06,10.00,0.62,0.28,0.14,2.40,5.00,1.84,2.80,6.36,0.00,0.78,3.24,2.50,0.03,0.00,0.00,1.00,0.11,0.33,0.47,9.40,1.11,1.54,0.51,0.63,0.71,0.00,,7.10,1.29,5.55,0.00,1.79,0.02,0.25,0.10,,5.30,,0.00,0.96,0.00,0.02,2.76,1.43
